25 20
#############
#...........#    ########
#...........######a....+#
#...........m.......m...#
#...........######......#
#...........#   ##..o...#
#...........#   #d......#
#....o......#   ##......#
#####..######    ###..###
    #..#           #..#
    #..#      g    #..#
    #..#         ###..###
  ###..####      #......#
  #.......#      #..o.o.#
  #.......#      #......#
  #.......#      #...+..#
  #...a...#      #......#
  #..s....#      ###b####
  #@......#      #+....k#
  #########      ########
